volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
0.967596,78.527359,9.674006,0
0.971247,78.388458,9.710512,0
0.974899,78.50016,9.747018,0
0.97855,78.756554,9.783524,0
0.982201,78.858871,9.820029,0
0.985853,78.92511,9.856535,0
0.989504,78.946762,9.893041,0
0.993155,78.965439,9.929546,0
0.996807,78.969185,9.966052,0
1.000458,78.923424,10.002558,0
1.004109,78.773399,10.039063,0
1.007761,78.694916,10.075569,0
1.011412,78.688156,10.112075,0
1.015063,78.649948,10.148581,0
1.018714,78.596565,10.185086,0
1.022366,78.588394,10.221592,0
1.026017,78.5877,10.258098,0
1.029668,78.573975,10.294603,0
1.03332,78.578537,10.331109,0
1.036971,78.653229,10.367615,0
1.040622,78.700424,10.40412,0
1.044274,78.703842,10.440626,0
1.047925,78.75901,10.477132,0
1.051576,78.856941,10.513638,0
1.055228,78.981514,10.550142,0
1.058879,79.116081,10.586648,0
1.06253,79.216278,10.623154,0
1.066181,79.305298,10.659659,0
1.069833,79.308395,10.696165,0
1.073484,79.306763,10.732671,0
1.077135,79.29155,10.769176,0
1.080787,79.281906,10.805682,0
1.084438,79.279579,10.842188,0
1.088089,79.308578,10.878694,0
1.091741,79.357674,10.915199,0
1.095392,79.418282,10.951705,0
1.099043,79.481972,10.988211,0
1.102695,79.518463,11.024716,0
1.106346,79.551804,11.061222,0
1.109997,79.573486,11.097728,0
1.113648,79.573624,11.134233,0
1.1173,79.522583,11.170739,0
1.120951,79.007584,11.207245,0
1.124602,77.97892,11.243751,0
1.128254,77.315407,11.280256,0
1.131905,76.848938,11.316762,0
1.135556,76.425247,11.353268,0
1.139208,76.00856,11.389773,0
1.142859,75.261269,11.426279,0
1.14651,74.550705,11.462785,0
1.150162,74.002029,11.49929,0
1.153813,73.483665,11.535796,0
1.157464,73.022865,11.572302,0
1.161115,72.628342,11.608808,0
1.164767,72.293671,11.645313,0
1.168418,72.085251,11.681819,0
1.172069,71.930412,11.718325,0
1.175721,71.689232,11.75483,0
1.179372,71.433411,11.791336,0
1.183023,71.128754,11.827842,0
1.186675,70.813553,11.864347,0
1.190326,70.464905,11.900853,0
1.193977,70.121552,11.937359,0
1.197628,69.785645,11.973865,0
1.20128,69.467957,12.01037,0
1.204931,69.162811,12.046876,0
1.208582,68.863518,12.083382,0
1.212234,68.566177,12.119887,0
1.215885,68.229614,12.156393,0
1.219536,67.888786,12.192899,0
1.223188,67.538582,12.229404,0
1.226839,67.206238,12.26591,0
1.23049,66.919891,12.302416,0
1.234141,66.670746,12.338922,0
1.237793,66.465843,12.375427,0
1.241444,66.253731,12.411933,0
1.245095,66.037422,12.448439,0
1.248747,65.841438,12.484944,0
1.252398,65.650215,12.52145,0
1.256049,65.421188,12.557956,0
1.259701,65.191368,12.594461,0
1.263352,64.958969,12.630967,0
1.267003,64.746513,12.667473,0
1.270655,64.574211,12.703979,0
1.274306,64.423363,12.740484,0
1.277957,64.293175,12.77699,0
